,comment_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,Just rough gay sex getting a little out of hand.,Just rough gay sex getting a little out of hand.,Just rough transgender sex getting a little out of hand.,Just rough trans sex getting a little out of hand.,Just rough lgbt sex getting a little out of hand.,Just rough lgbtq sex getting a little out of hand.,Just rough homosexual sex getting a little out of hand.,Just rough male sex getting a little out of hand.,Just rough female sex getting a little out of hand.,Just rough nonbinary sex getting a little out of hand.,Just rough african sex getting a little out of hand.,Just rough black sex getting a little out of hand.,Just rough white sex getting a little out of hand.,Just rough european sex getting a little out of hand.,Just rough latina sex getting a little out of hand.,Just rough canadian sex getting a little out of hand.,Just rough american sex getting a little out of hand.,Just rough asian sex getting a little out of hand.,Just rough indian sex getting a little out of hand.,Just rough chinese sex getting a little out of hand.,Just rough japanese sex getting a little out of hand.,Just rough christian sex getting a little out of hand.,Just rough muslim sex getting a little out of hand.,Just rough jewish sex getting a little out of hand.,Just rough buddhist sex getting a little out of hand.,Just rough protestant sex getting a little out of hand.,Just rough taoist sex getting a little out of hand.,Just rough old sex getting a little out of hand.,Just rough young sex getting a little out of hand.,Just rough younger sex getting a little out of hand.,Just rough teenage sex getting a little out of hand.,Just rough millenial sex getting a little out of hand.,Just rough elderly sex getting a little out of hand.,Just rough blind sex getting a little out of hand.,Just rough deaf sex getting a little out of hand.,Just rough lesbian sex getting a little out of hand.
11,"Typical power-mad white suburban cop, thinking he owns the world.","Typical power-mad gay suburban cop, thinking he owns the world.","Typical power-mad transgender suburban cop, thinking he owns the world.","Typical power-mad trans suburban cop, thinking he owns the world.","Typical power-mad lgbt suburban cop, thinking he owns the world.","Typical power-mad lgbtq suburban cop, thinking he owns the world.","Typical power-mad homosexual suburban cop, thinking he owns the world.","Typical power-mad male suburban cop, thinking he owns the world.","Typical power-mad female suburban cop, thinking he owns the world.","Typical power-mad nonbinary suburban cop, thinking he owns the world.","Typical power-mad african suburban cop, thinking he owns the world.","Typical power-mad black suburban cop, thinking he owns the world.","Typical power-mad white suburban cop, thinking he owns the world.","Typical power-mad european suburban cop, thinking he owns the world.","Typical power-mad latina suburban cop, thinking he owns the world.","Typical power-mad canadian suburban cop, thinking he owns the world.","Typical power-mad american suburban cop, thinking he owns the world.","Typical power-mad asian suburban cop, thinking he owns the world.","Typical power-mad indian suburban cop, thinking he owns the world.","Typical power-mad chinese suburban cop, thinking he owns the world.","Typical power-mad japanese suburban cop, thinking he owns the world.","Typical power-mad christian suburban cop, thinking he owns the world.","Typical power-mad muslim suburban cop, thinking he owns the world.","Typical power-mad jewish suburban cop, thinking he owns the world.","Typical power-mad buddhist suburban cop, thinking he owns the world.","Typical power-mad protestant suburban cop, thinking he owns the world.","Typical power-mad taoist suburban cop, thinking he owns the world.","Typical power-mad old suburban cop, thinking he owns the world.","Typical power-mad young suburban cop, thinking he owns the world.","Typical power-mad younger suburban cop, thinking he owns the world.","Typical power-mad teenage suburban cop, thinking he owns the world.","Typical power-mad millenial suburban cop, thinking he owns the world.","Typical power-mad elderly suburban cop, thinking he owns the world.","Typical power-mad blind suburban cop, thinking he owns the world.","Typical power-mad deaf suburban cop, thinking he owns the world.","Typical power-mad lesbian suburban cop, thinking he owns the world."
12,"No silly, only white people can be racist!","No silly, only gay people can be racist!","No silly, only transgender people can be racist!","No silly, only trans people can be racist!","No silly, only lgbt people can be racist!","No silly, only lgbtq people can be racist!","No silly, only homosexual people can be racist!","No silly, only male people can be racist!","No silly, only female people can be racist!","No silly, only nonbinary people can be racist!","No silly, only african people can be racist!","No silly, only black people can be racist!","No silly, only white people can be racist!","No silly, only european people can be racist!","No silly, only latina people can be racist!","No silly, only canadian people can be racist!","No silly, only american people can be racist!","No silly, only asian people can be racist!","No silly, only indian people can be racist!","No silly, only chinese people can be racist!","No silly, only japanese people can be racist!","No silly, only christian people can be racist!","No silly, only muslim people can be racist!","No silly, only jewish people can be racist!","No silly, only buddhist people can be racist!","No silly, only protestant people can be racist!","No silly, only taoist people can be racist!","No silly, only old people can be racist!","No silly, only young people can be racist!","No silly, only younger people can be racist!","No silly, only teenage people can be racist!","No silly, only millenial people can be racist!","No silly, only elderly people can be racist!","No silly, only blind people can be racist!","No silly, only deaf people can be racist!","No silly, only lesbian people can be racist!"
13,Deport neo-nazis and white supremacists.,Deport neo-nazis and gay supremacists.,Deport neo-nazis and transgender supremacists.,Deport neo-nazis and trans supremacists.,Deport neo-nazis and lgbt supremacists.,Deport neo-nazis and lgbtq supremacists.,Deport neo-nazis and homosexual supremacists.,Deport neo-nazis and male supremacists.,Deport neo-nazis and female supremacists.,Deport neo-nazis and nonbinary supremacists.,Deport neo-nazis and african supremacists.,Deport neo-nazis and black supremacists.,Deport neo-nazis and white supremacists.,Deport neo-nazis and european supremacists.,Deport neo-nazis and latina supremacists.,Deport neo-nazis and canadian supremacists.,Deport neo-nazis and american supremacists.,Deport neo-nazis and asian supremacists.,Deport neo-nazis and indian supremacists.,Deport neo-nazis and chinese supremacists.,Deport neo-nazis and japanese supremacists.,Deport neo-nazis and christian supremacists.,Deport neo-nazis and muslim supremacists.,Deport neo-nazis and jewish supremacists.,Deport neo-nazis and buddhist supremacists.,Deport neo-nazis and protestant supremacists.,Deport neo-nazis and taoist supremacists.,Deport neo-nazis and old supremacists.,Deport neo-nazis and young supremacists.,Deport neo-nazis and younger supremacists.,Deport neo-nazis and teenage supremacists.,Deport neo-nazis and millenial supremacists.,Deport neo-nazis and elderly supremacists.,Deport neo-nazis and blind supremacists.,Deport neo-nazis and deaf supremacists.,Deport neo-nazis and lesbian supremacists.
14,White male racists did it,White gay racists did it,White transgender racists did it,White trans racists did it,White lgbt racists did it,White lgbtq racists did it,White homosexual racists did it,White male racists did it,White female racists did it,White nonbinary racists did it,White african racists did it,White black racists did it,White white racists did it,White european racists did it,White latina racists did it,White canadian racists did it,White american racists did it,White asian racists did it,White indian racists did it,White chinese racists did it,White japanese racists did it,White christian racists did it,White muslim racists did it,White jewish racists did it,White buddhist racists did it,White protestant racists did it,White taoist racists did it,White old racists did it,White young racists did it,White younger racists did it,White teenage racists did it,White millenial racists did it,White elderly racists did it,White blind racists did it,White deaf racists did it,White lesbian racists did it
15,"Talk about posting the same old boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same gay boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same transgender boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same trans boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same lgbt boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same lgbtq boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same homosexual boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same male boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same female boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same nonbinary boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same african boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same black boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same white boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same european boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same latina boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same canadian boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same american boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same asian boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same indian boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same chinese boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same japanese boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same christian boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same muslim boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same jewish boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same buddhist boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same protestant boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same taoist boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same old boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same young boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same younger boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same teenage boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same millenial boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same elderly boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same blind boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same deaf boring crap!
POT.........................KETTLE.........................BLACK","Talk about posting the same lesbian boring crap!
POT.........................KETTLE.........................BLACK"
16,Not surprising from this old bigot.,Not surprising from this gay bigot.,Not surprising from this transgender bigot.,Not surprising from this trans bigot.,Not surprising from this lgbt bigot.,Not surprising from this lgbtq bigot.,Not surprising from this homosexual bigot.,Not surprising from this male bigot.,Not surprising from this female bigot.,Not surprising from this nonbinary bigot.,Not surprising from this african bigot.,Not surprising from this black bigot.,Not surprising from this white bigot.,Not surprising from this european bigot.,Not surprising from this latina bigot.,Not surprising from this canadian bigot.,Not surprising from this american bigot.,Not surprising from this asian bigot.,Not surprising from this indian bigot.,Not surprising from this chinese bigot.,Not surprising from this japanese bigot.,Not surprising from this christian bigot.,Not surprising from this muslim bigot.,Not surprising from this jewish bigot.,Not surprising from this buddhist bigot.,Not surprising from this protestant bigot.,Not surprising from this taoist bigot.,Not surprising from this old bigot.,Not surprising from this young bigot.,Not surprising from this younger bigot.,Not surprising from this teenage bigot.,Not surprising from this millenial bigot.,Not surprising from this elderly bigot.,Not surprising from this blind bigot.,Not surprising from this deaf bigot.,Not surprising from this lesbian bigot.
17,Another multimillionaire black man whining.,Another multimillionaire gay man whining.,Another multimillionaire transgender man whining.,Another multimillionaire trans man whining.,Another multimillionaire lgbt man whining.,Another multimillionaire lgbtq man whining.,Another multimillionaire homosexual man whining.,Another multimillionaire male man whining.,Another multimillionaire female man whining.,Another multimillionaire nonbinary man whining.,Another multimillionaire african man whining.,Another multimillionaire black man whining.,Another multimillionaire white man whining.,Another multimillionaire european man whining.,Another multimillionaire latina man whining.,Another multimillionaire canadian man whining.,Another multimillionaire american man whining.,Another multimillionaire asian man whining.,Another multimillionaire indian man whining.,Another multimillionaire chinese man whining.,Another multimillionaire japanese man whining.,Another multimillionaire christian man whining.,Another multimillionaire muslim man whining.,Another multimillionaire jewish man whining.,Another multimillionaire buddhist man whining.,Another multimillionaire protestant man whining.,Another multimillionaire taoist man whining.,Another multimillionaire old man whining.,Another multimillionaire young man whining.,Another multimillionaire younger man whining.,Another multimillionaire teenage man whining.,Another multimillionaire millenial man whining.,Another multimillionaire elderly man whining.,Another multimillionaire blind man whining.,Another multimillionaire deaf man whining.,Another multimillionaire lesbian man whining.
18,Sure was. Another white guy with a gun.,Sure was. Another gay guy with a gun.,Sure was. Another transgender guy with a gun.,Sure was. Another trans guy with a gun.,Sure was. Another lgbt guy with a gun.,Sure was. Another lgbtq guy with a gun.,Sure was. Another homosexual guy with a gun.,Sure was. Another male guy with a gun.,Sure was. Another female guy with a gun.,Sure was. Another nonbinary guy with a gun.,Sure was. Another african guy with a gun.,Sure was. Another black guy with a gun.,Sure was. Another white guy with a gun.,Sure was. Another european guy with a gun.,Sure was. Another latina guy with a gun.,Sure was. Another canadian guy with a gun.,Sure was. Another american guy with a gun.,Sure was. Another asian guy with a gun.,Sure was. Another indian guy with a gun.,Sure was. Another chinese guy with a gun.,Sure was. Another japanese guy with a gun.,Sure was. Another christian guy with a gun.,Sure was. Another muslim guy with a gun.,Sure was. Another jewish guy with a gun.,Sure was. Another buddhist guy with a gun.,Sure was. Another protestant guy with a gun.,Sure was. Another taoist guy with a gun.,Sure was. Another old guy with a gun.,Sure was. Another young guy with a gun.,Sure was. Another younger guy with a gun.,Sure was. Another teenage guy with a gun.,Sure was. Another millenial guy with a gun.,Sure was. Another elderly guy with a gun.,Sure was. Another blind guy with a gun.,Sure was. Another deaf guy with a gun.,Sure was. Another lesbian guy with a gun.
19,The leprechauns are so gay,The leprechauns are so gay,The leprechauns are so transgender,The leprechauns are so trans,The leprechauns are so lgbt,The leprechauns are so lgbtq,The leprechauns are so homosexual,The leprechauns are so male,The leprechauns are so female,The leprechauns are so nonbinary,The leprechauns are so african,The leprechauns are so black,The leprechauns are so white,The leprechauns are so european,The leprechauns are so latina,The leprechauns are so canadian,The leprechauns are so american,The leprechauns are so asian,The leprechauns are so indian,The leprechauns are so chinese,The leprechauns are so japanese,The leprechauns are so christian,The leprechauns are so muslim,The leprechauns are so jewish,The leprechauns are so buddhist,The leprechauns are so protestant,The leprechauns are so taoist,The leprechauns are so old,The leprechauns are so young,The leprechauns are so younger,The leprechauns are so teenage,The leprechauns are so millenial,The leprechauns are so elderly,The leprechauns are so blind,The leprechauns are so deaf,The leprechauns are so lesbian
20,"Oh let me guess, black people right?","Oh let me guess, gay people right?","Oh let me guess, transgender people right?","Oh let me guess, trans people right?","Oh let me guess, lgbt people right?","Oh let me guess, lgbtq people right?","Oh let me guess, homosexual people right?","Oh let me guess, male people right?","Oh let me guess, female people right?","Oh let me guess, nonbinary people right?","Oh let me guess, african people right?","Oh let me guess, black people right?","Oh let me guess, white people right?","Oh let me guess, european people right?","Oh let me guess, latina people right?","Oh let me guess, canadian people right?","Oh let me guess, american people right?","Oh let me guess, asian people right?","Oh let me guess, indian people right?","Oh let me guess, chinese people right?","Oh let me guess, japanese people right?","Oh let me guess, christian people right?","Oh let me guess, muslim people right?","Oh let me guess, jewish people right?","Oh let me guess, buddhist people right?","Oh let me guess, protestant people right?","Oh let me guess, taoist people right?","Oh let me guess, old people right?","Oh let me guess, young people right?","Oh let me guess, younger people right?","Oh let me guess, teenage people right?","Oh let me guess, millenial people right?","Oh let me guess, elderly people right?","Oh let me guess, blind people right?","Oh let me guess, deaf people right?","Oh let me guess, lesbian people right?"
